at_index,sr_index,max_year,min_year,distance,class
0,0,2009,2009,1.0,0
0,1,2009,2009,3.720586819359841,0
0,2,2010,2009,1.937609863544069,0
0,3,2009,2009,0.9906854249492382,0
0,4,2010,2009,1.0,0
0,5,2010,2009,1.7071067811865475,0
0,6,2010,2009,1.2588834764831844,0
0,7,2009,2009,3.3300625276085714,0
0,8,2009,2009,1.0,0
0,9,2009,1976,2.2761423749153966,0
1,1,2009,2009,1.0,0
1,10,2018,2009,3.172762466358176,0
1,2,2010,2009,3.821698826107716,0
1,11,2013,2009,4.0,1
1,3,2009,2009,3.495093791412857,0
1,4,2010,2009,4.0,1
1,12,2019,2009,5.656854249492381,1
1,13,2019,2009,4.552284749830793,1
1,14,2011,2009,2.8284271247461903,0
1,15,2019,2009,11.313708498984761,1
1,5,2010,2009,3.414213562373095,0
1,6,2010,2009,2.692809041582063,0
1,16,2017,2009,2.0,0
1,17,2012,2009,5.775512230138757,1
1,18,2016,2009,4.82842712474619,1
1,19,2018,2009,6.197747505812798,1
1,20,2015,2009,5.848866013815723,1
1,7,2009,2009,1.2096361786715624,0
1,21,2017,2009,8.0,1
1,22,2015,2009,4.127315624828507,1
1,23,2018,2009,6.82842712474619,1
1,9,2009,1976,5.656854249492381,1
1,24,2018,2009,3.469885441176317,0
1,25,2017,2009,3.4142135623730954,0
1,26,2017,2009,5.656854249492381,1
1,27,2015,2009,4.9798502893414165,1
1,28,2013,2009,3.402107333079827,0
1,29,2011,2009,5.155287301559175,1
1,30,2011,2009,2.872327768914159,0
1,31,2017,2009,3.121471606214933,0
1,32,2017,2009,3.745570915232519,0
1,33,2019,2009,5.656854249492381,1
1,34,2015,2009,5.656854249492381,1
35,35,1995,1995,1.0,0
35,36,1995,1995,11.313708498984761,1
35,37,2000,1995,22.627416997969522,1
35,38,1999,1995,16.0,1
36,36,1995,1995,1.0,0
36,39,2002,1995,5.656854249492381,1
36,40,2002,1995,5.656854249492381,1
36,41,2003,1995,8.0,1
36,37,2000,1995,2.8284271247461903,0
36,38,1999,1995,3.414213562373095,0
10,10,2018,2018,1.0,0
10,42,2019,2018,25.557916817258874,1
10,43,2021,2018,1.37955060707034,0
10,12,2019,2018,1.0,0
10,13,2019,2018,1.2498040461056465,0
10,15,2019,2018,11.313708498984761,1
10,19,2018,2018,1.1112359855281135,0
10,44,2019,2018,1.2024157822444417,0
10,7,2018,2009,3.253673955441823,0
10,45,2021,2018,6.82842712474619,1
10,22,2018,2015,1.0324028090944433,0
10,46,2021,2018,11.485281374238571,1
10,24,2018,2018,1.3014932223431115,0
10,25,2018,2017,1.0415950389143305,0
10,27,2018,2015,1.0771623186531547,0
10,31,2018,2017,1.0595646307181736,0
10,32,2018,2017,1.3757018708051838,0
10,33,2019,2018,0.7071067811865476,0
10,47,2021,2018,32.55460728484408,1
10,48,2020,2018,8.0,1
10,49,2020,2018,1.4142135623730951,0
10,50,2019,2018,17.584300132521143,1
51,51,2007,2007,1.0,0
51,52,2007,2007,1.1380711874576983,0
51,53,2007,2006,1.2071067811865475,0
51,54,2008,2007,8.485281374238571,1
51,55,2008,2007,1.6094757082487299,0
51,56,2009,2007,4.0,1
51,57,2007,2006,2.040440114519881,0
51,58,2009,2007,5.414213562373095,1
51,59,2007,2007,4.331370849898476,1
51,38,2007,1999,10.45685424949238,1
51,60,2007,2006,2.040440114519881,0
51,61,2008,2007,1.2071067811865475,0
51,62,2008,2007,1.0,0
51,63,2007,2005,23.542472332656505,1
64,64,2022,2022,1.0,0
39,39,2002,2002,1.0,0
39,40,2002,2002,2.0,0
39,65,2004,2002,1.4142135623730951,0
39,41,2003,2002,1.4142135623730951,0
39,66,2004,2002,4.0,1
39,38,2002,1999,1.4142135623730951,0
2,2,2010,2010,1.0,0
2,11,2013,2010,4.0,1
2,3,2010,2009,1.7493309715562986,0
2,4,2010,2010,1.4142135623730951,0
2,14,2011,2010,1.4142135623730951,0
2,5,2010,2010,1.4142135623730951,0
2,6,2010,2010,1.5895710340216882,0
2,17,2012,2010,3.019777054234136,0
2,18,2016,2010,2.0,0
2,20,2015,2010,2.855634918610405,0
2,7,2010,2009,3.193375642855759,0
2,27,2015,2010,2.2517346066809423,0
2,28,2013,2010,2.659412123148597,0
2,29,2011,2010,2.3525020601817435,0
2,30,2011,2010,2.4873928774267053,0
2,67,2011,2010,1.4142135623730951,0
2,34,2015,2010,2.414213562373095,0
42,42,2019,2019,1.0,0
42,43,2021,2019,31.77027414082666,1
42,13,2019,2019,30.7220099988056,1
42,19,2019,2018,32.0,1
42,44,2019,2019,25.19179369432795,1
42,45,2021,2019,16.87144459169016,1
42,22,2019,2015,15.324412954083982,1
