at_index,sr_index,max_year,min_year,distance,class
0,1,2021,2018,1.0,0
0,2,2021,2019,0.5,0
0,3,2021,2019,1.0,0
0,4,2021,2017,1.0,0
0,5,2021,2017,1.0,0
0,6,2021,2020,2.0,1
0,7,2021,2019,5.0,1
8,1,2021,2018,1.0,0
8,2,2021,2019,0.5,0
8,3,2021,2019,1.0,0
8,4,2021,2017,1.0,0
8,5,2021,2017,1.0,0
8,6,2021,2020,2.0,1
8,7,2021,2019,5.0,1
9,10,2011,2009,0.0,0
9,11,2011,2010,2.0,1
9,12,2011,2009,0.0,0
9,13,2011,2011,0.0,0
9,14,2011,2011,0.0,0
15,10,2012,2009,0.0,0
15,11,2012,2010,2.0,1
15,16,2012,2012,0.0,0
15,12,2012,2009,0.0,0
15,13,2012,2011,0.0,0
15,14,2012,2011,0.0,0
17,10,2012,2009,0.0,0
17,11,2012,2010,2.0,1
17,16,2012,2012,0.0,0
17,12,2012,2009,0.0,0
17,13,2012,2011,0.0,0
17,14,2012,2011,0.0,0
18,19,2024,2023,0.0,0
18,20,2024,2021,0.0,0
18,21,2024,2022,0.0,0
18,22,2024,2022,1.0,0
23,10,2016,2009,0.0,0
23,11,2016,2010,3.0,1
23,16,2016,2012,0.0,0
23,24,2016,2015,0.0,0
23,12,2016,2009,1.0,0
23,25,2016,2015,1.0,0
23,26,2016,2013,0.0,0
23,13,2016,2011,0.0,0
23,14,2016,2011,0.0,0
27,10,2016,2009,0.0,0
27,11,2016,2010,2.0,1
27,16,2016,2012,0.0,0
27,24,2016,2015,0.0,0
27,12,2016,2009,1.0,0
27,25,2016,2015,0.0,0
27,26,2016,2013,0.0,0
27,13,2016,2011,0.0,0
27,14,2016,2011,0.0,0
28,10,2016,2009,0.0,0
28,11,2016,2010,2.0,1
28,16,2016,2012,0.0,0
28,24,2016,2015,0.0,0
28,12,2016,2009,1.0,0
28,25,2016,2015,1.0,0
28,26,2016,2013,0.0,0
28,13,2016,2011,0.0,0
28,14,2016,2011,0.0,0
29,10,2016,2009,0.0,0
29,11,2016,2010,2.0,1
29,16,2016,2012,0.0,0
29,24,2016,2015,0.0,0
29,12,2016,2009,1.0,0
29,25,2016,2015,1.0,0
29,26,2016,2013,0.0,0
29,13,2016,2011,0.0,0
29,14,2016,2011,0.0,0
30,10,2016,2009,0.0,0
30,11,2016,2010,2.0,1
30,16,2016,2012,0.0,0
30,24,2016,2015,0.0,0
30,12,2016,2009,1.0,0
30,25,2016,2015,0.0,0
30,26,2016,2013,0.0,0
30,13,2016,2011,0.0,0
30,14,2016,2011,0.0,0
31,10,2016,2009,0.0,0
31,11,2016,2010,2.0,1
31,16,2016,2012,0.0,0
31,24,2016,2015,0.0,0
31,12,2016,2009,1.0,0
31,25,2016,2015,0.0,0
31,26,2016,2013,0.0,0
31,13,2016,2011,0.0,0
31,14,2016,2011,0.0,0
32,10,2016,2009,0.0,0
32,11,2016,2010,2.0,1
32,16,2016,2012,0.0,0
32,24,2016,2015,1.0,0
32,12,2016,2009,2.0,1
32,25,2016,2015,1.0,0
32,26,2016,2013,0.0,0
32,13,2016,2011,0.0,0
32,14,2016,2011,0.0,0
33,10,2016,2009,0.0,0
33,11,2016,2010,2.0,1
33,16,2016,2012,0.0,0
33,24,2016,2015,0.0,0
33,12,2016,2009,1.0,0
33,25,2016,2015,0.0,0
33,26,2016,2013,0.0,0
33,13,2016,2011,0.0,0
33,14,2016,2011,0.0,0
34,10,2016,2009,0.0,0
34,11,2016,2010,2.0,1
34,16,2016,2012,0.0,0
34,24,2016,2015,1.0,0
34,12,2016,2009,1.0,0
34,25,2016,2015,0.0,0
34,26,2016,2013,0.0,0
34,13,2016,2011,0.0,0
34,14,2016,2011,0.0,0
35,10,2016,2009,0.0,0
35,11,2016,2010,2.0,1
35,16,2016,2012,0.0,0
35,24,2016,2015,1.0,0
35,12,2016,2009,2.0,1
35,25,2016,2015,1.0,0
35,26,2016,2013,0.0,0
35,13,2016,2011,1.0,0
35,14,2016,2011,0.0,0
36,10,2016,2009,0.0,0
36,11,2016,2010,2.0,1
36,16,2016,2012,0.0,0
36,24,2016,2015,0.0,0
36,12,2016,2009,1.0,0
36,25,2016,2015,0.0,0
36,26,2016,2013,0.0,0
36,13,2016,2011,0.0,0
36,14,2016,2011,0.0,0
37,10,2016,2009,0.0,0
37,11,2016,2010,2.0,1
37,16,2016,2012,0.0,0
37,24,2016,2015,1.0,0
37,12,2016,2009,1.0,0
37,25,2016,2015,0.0,0
37,26,2016,2013,0.0,0
37,13,2016,2011,0.0,0
37,14,2016,2011,0.0,0
38,10,2016,2009,0.0,0
38,11,2016,2010,2.0,1
38,16,2016,2012,0.0,0
38,24,2016,2015,0.0,0
38,12,2016,2009,1.0,0
38,25,2016,2015,1.0,0
