at_index,sr_index,max_year,min_year,distance,class
0,1,2021,2020,3.0,1
0,2,2021,2020,3.0,1
0,3,2021,2019,2.0,1
0,4,2021,2018,3.0,1
0,5,2021,2019,2.0,1
0,6,2021,2014,2.0,1
0,7,2021,2017,4.5,1
0,8,2021,2016,2.0,1
9,10,2018,2017,4.0,1
9,4,2018,2018,4.0,1
9,11,2018,2018,1.0,0
9,8,2018,2016,3.0,1
9,12,2018,2017,5.0,1
13,14,2012,2011,0.0,0
13,15,2012,2012,4.0,1
13,16,2012,2010,2.0,1
13,17,2012,2009,3.0,1
13,18,2012,2011,1.0,0
13,19,2012,2012,2.0,1
13,20,2012,2009,4.0,1
13,21,2012,2011,1.5,0
22,23,2024,2023,1.0,0
22,24,2024,2022,2.0,1
22,25,2024,2023,0.0,0
22,26,2024,2024,3.0,1
22,27,2024,2023,2.0,1
28,29,2014,2013,2.0,1
28,30,2014,2013,3.0,1
28,16,2014,2010,3.0,1
28,31,2014,2012,0.5,0
28,17,2014,2009,3.0,1
28,32,2014,2013,1.0,0
28,33,2014,2013,2.0,1
28,18,2014,2011,2.0,1
28,19,2014,2012,2.0,1
28,21,2014,2011,1.0,0
34,29,2014,2013,3.0,1
34,30,2014,2013,3.0,1
34,16,2014,2010,5.0,1
34,31,2014,2012,1.5,0
34,32,2014,2013,1.0,0
34,33,2014,2013,2.0,1
34,18,2014,2011,3.0,1
34,19,2014,2012,3.0,1
34,21,2014,2011,1.0,0
35,29,2014,2013,3.0,1
35,30,2014,2013,3.0,1
35,16,2014,2010,5.0,1
35,31,2014,2012,0.5,0
35,32,2014,2013,1.0,0
35,33,2014,2013,2.0,1
35,18,2014,2011,3.0,1
35,19,2014,2012,3.0,1
35,21,2014,2011,1.0,0
36,29,2014,2013,3.0,1
36,30,2014,2013,3.0,1
36,16,2014,2010,4.0,1
36,31,2014,2012,0.5,0
36,17,2014,2009,4.0,1
36,32,2014,2013,1.0,0
36,33,2014,2013,2.0,1
36,18,2014,2011,2.0,1
36,19,2014,2012,3.0,1
36,21,2014,2011,1.0,0
37,29,2014,2013,3.0,1
37,30,2014,2013,3.0,1
37,16,2014,2010,5.0,1
37,31,2014,2012,1.0,0
37,17,2014,2009,4.0,1
37,32,2014,2013,1.0,0
37,33,2014,2013,2.0,1
37,18,2014,2011,3.0,1
37,19,2014,2012,3.0,1
37,21,2014,2011,1.0,0
38,29,2014,2013,3.0,1
38,30,2014,2013,4.0,1
38,16,2014,2010,5.0,1
38,32,2014,2013,2.0,1
38,18,2014,2011,2.0,1
38,19,2014,2012,3.0,1
38,21,2014,2011,2.0,1
39,40,2011,2007,5.0,1
39,41,2011,2011,0.0,0
39,16,2011,2010,4.0,1
39,42,2011,2010,3.0,1
39,17,2011,2009,4.0,1
39,18,2011,2011,0.0,0
39,20,2011,2009,5.0,1
39,43,2011,2009,5.0,1
44,40,2011,2007,5.0,1
44,41,2011,2011,0.0,0
44,16,2011,2010,4.0,1
44,42,2011,2010,2.0,1
44,17,2011,2009,4.0,1
44,18,2011,2011,0.0,0
44,20,2011,2009,5.0,1
44,43,2011,2009,5.0,1
45,40,2011,2007,5.0,1
45,41,2011,2011,1.0,0
45,16,2011,2010,3.0,1
45,42,2011,2010,2.0,1
45,17,2011,2009,2.0,1
45,18,2011,2011,0.0,0
45,20,2011,2009,4.0,1
45,43,2011,2009,5.0,1
46,47,2023,2022,2.0,1
46,48,2023,2022,2.0,1
46,49,2023,2021,2.0,1
46,50,2023,2022,3.0,1
46,51,2023,2021,1.0,0
46,52,2023,2022,2.0,1
46,53,2023,2021,2.0,1
