at_index,sr_index,max_year,min_year,distance,class,at_name,sr_name
0,1,1993,1989,5.217230716220669,1,A/abidjan/456/2021,A/bangladesh/4005/2020
0,2,1995,1993,0.2940080094299257,0,A/abidjan/456/2021,A/cambodia/e0826360/2020
0,3,1993,1993,2.576925181655738,1,A/abidjan/456/2021,A/denmark/3264/2019
0,4,1995,1993,2.9050747425797585,1,A/abidjan/456/2021,A/england/538/2018
0,5,1995,1993,5.674780762969625,1,A/abidjan/456/2021,A/hongkong/2671/2019
0,6,1994,1993,3.321928094887362,1,A/abidjan/456/2021,A/hongkong/5738/2014
0,7,1993,1989,8.0,1,A/abidjan/456/2021,A/kansas/14/2017
0,8,1993,1993,0.1941346960828825,0,A/abidjan/456/2021,A/singapore/infimh-16-0019/2016
9,10,1982,1979,0.0,0,A/abudhabi/240/2018,A/bretagne/1413/2017
9,11,1988,1982,2.1428728867680547,1,A/abudhabi/240/2018,A/netherlands/10260/2018
9,12,1982,1982,0.0,0,A/abudhabi/240/2018,A/switzerland/8060/2017
9,13,1985,1982,0.0,0,A/abudhabi/240/2018,A/acores/su43/2012
14,14,1977,1977,0.0,0,A/berlin/93/2011,A/berlin/93/2011
14,15,1977,1972,3.0,1,A/berlin/93/2011,A/hawaii/22/2012
14,16,1977,1974,1.0,0,A/berlin/93/2011,A/iowa/19/2010
14,17,1977,1972,4.0,1,A/berlin/93/2011,A/perth/16/2009
14,18,1977,1968,7.0,1,A/berlin/93/2011,A/stockholm/18/2011
14,19,1980,1977,3.0,1,A/berlin/93/2011,A/texas/50/2012
14,20,1982,1977,5.0,1,A/berlin/93/2011,A/victoria/208/2009
14,21,1982,1977,3.0,1,A/berlin/93/2011,A/victoria/361/2011
14,22,1985,1977,3.70283290924706,1,A/berlin/93/2011,A/ad_duqm/7241563/2024
14,23,1977,1973,1.9389914387755427,0,A/berlin/93/2011,A/lisboa/216/2023
14,12,1982,1977,0.0,0,A/berlin/93/2011,A/switzerland/8060/2017
14,24,1985,1977,4.499845887083206,1,A/berlin/93/2011,A/massachusetts/18/2022
14,13,1985,1977,3.7502045092798713,1,A/berlin/93/2011,A/acores/su43/2012
25,1,1992,1989,0.2172307162206691,0,A/netherlands/10563/2023,A/bangladesh/4005/2020
25,26,1992,1986,3.0,1,A/netherlands/10563/2023,A/slovenia/49/2024
25,2,1995,1992,4.878970510151082,1,A/netherlands/10563/2023,A/cambodia/e0826360/2020
25,27,1994,1992,0.0,0,A/netherlands/10563/2023,A/sydney/856/2023
25,4,1995,1992,5.311067102255596,1,A/netherlands/10563/2023,A/england/538/2018
25,11,1992,1988,2.1428728867680547,1,A/netherlands/10563/2023,A/netherlands/10260/2018
25,7,1992,1989,2.0,1,A/netherlands/10563/2023,A/kansas/14/2017
25,8,1993,1992,4.013462259806563,1,A/netherlands/10563/2023,A/singapore/infimh-16-0019/2016
25,28,1992,1987,3.3336026282682805,1,A/netherlands/10563/2023,A/adana/111/2014
25,29,1992,1987,4.51096191927738,1,A/netherlands/10563/2023,A/almaty/2958/2013
25,30,1992,1990,0.0,0,A/netherlands/10563/2023,A/hongkong/146/2013
25,13,1992,1985,2.750204509279872,1,A/netherlands/10563/2023,A/acores/su43/2012
31,26,1989,1986,3.0,1,A/newyork/39/2012,A/slovenia/49/2024
31,22,1989,1985,3.499845887083205,1,A/newyork/39/2012,A/ad_duqm/7241563/2024
31,11,1989,1988,1.1428728867680544,0,A/newyork/39/2012,A/netherlands/10260/2018
31,7,1989,1989,1.0,0,A/newyork/39/2012,A/kansas/14/2017
31,28,1989,1987,0.0,0,A/newyork/39/2012,A/adana/111/2014
31,29,1989,1987,2.51096191927738,1,A/newyork/39/2012,A/almaty/2958/2013
31,32,1989,1987,0.0,0,A/newyork/39/2012,A/samara/73/2013
31,13,1989,1985,0.7502045092798715,0,A/newyork/39/2012,A/acores/su43/2012
33,26,1988,1986,1.0,0,A/serbia/ns-210/2013,A/slovenia/49/2024
33,22,1988,1985,2.499845887083205,1,A/serbia/ns-210/2013,A/ad_duqm/7241563/2024
33,11,1988,1988,0.0,0,A/serbia/ns-210/2013,A/netherlands/10260/2018
33,7,1989,1988,1.0,0,A/serbia/ns-210/2013,A/kansas/14/2017
33,28,1988,1987,0.0,0,A/serbia/ns-210/2013,A/adana/111/2014
33,29,1988,1987,0.0,0,A/serbia/ns-210/2013,A/almaty/2958/2013
33,32,1988,1987,0.1669162515699739,0,A/serbia/ns-210/2013,A/samara/73/2013
33,13,1988,1985,0.0,0,A/serbia/ns-210/2013,A/acores/su43/2012
34,34,1997,1997,0.0,0,A/adana/116/2014,A/adana/116/2014
34,35,1997,1996,3.0,1,A/adana/116/2014,A/adana/117/2014
34,6,1997,1994,3.395928676331139,1,A/adana/116/2014,A/hongkong/5738/2014
34,36,1998,1997,3.96271898392054,1,A/adana/116/2014,A/adana/199/2014
10,10,1979,1979,0.0,0,A/bretagne/1413/2017,A/bretagne/1413/2017
10,37,1986,1979,1.5017491324721746,0,A/bretagne/1413/2017,A/adana/223/2014
10,21,1982,1979,1.0,0,A/bretagne/1413/2017,A/victoria/361/2011
10,22,1985,1979,1.4998458870832054,0,A/bretagne/1413/2017,A/ad_duqm/7241563/2024
10,38,1985,1979,2.0,1,A/bretagne/1413/2017,A/adana/66/2014
10,11,1988,1979,4.142872886768054,1,A/bretagne/1413/2017,A/netherlands/10260/2018
10,12,1982,1979,0.0,0,A/bretagne/1413/2017,A/switzerland/8060/2017
10,28,1987,1979,5.33360262826828,1,A/bretagne/1413/2017,A/adana/111/2014
10,29,1987,1979,5.51096191927738,1,A/bretagne/1413/2017,A/almaty/2958/2013
10,13,1985,1979,1.029105320572686,0,A/bretagne/1413/2017,A/acores/su43/2012
39,1,1992,1989,4.235378062930929,1,A/adjame/gr1272/2011,A/bangladesh/4005/2020
39,3,1993,1992,3.8988532765431,1,A/adjame/gr1272/2011,A/denmark/3264/2019
39,40,1992,1989,0.0,0,A/adjame/gr1272/2011,A/brisbane/10/2007
39,27,1994,1992,0.0,0,A/adjame/gr1272/2011,A/sydney/856/2023
39,41,1992,1991,5.540568381362703,1,A/adjame/gr1272/2011,A/hongkong/3969/2011
39,4,1995,1992,5.109433241085945,1,A/adjame/gr1272/2011,A/england/538/2018
39,42,1993,1992,4.749534267669262,1,A/adjame/gr1272/2011,A/perth/10/2010
39,5,1995,1992,5.352852668082263,1,A/adjame/gr1272/2011,A/hongkong/2671/2019
39,43,1995,1992,5.886322969142488,1,A/adjame/gr1272/2011,A/victoria/210/2009
39,11,1992,1988,6.142872886768054,1,A/adjame/gr1272/2011,A/netherlands/10260/2018
