at_index,sr_index,max_year,min_year,distance,class
0,0,2005,2005,0.0,0
0,1,2006,2005,0.25000015547658244,0
0,2,2014,2005,5.0,1
0,3,2020,2005,4.2499976648979985,1
0,4,2005,1996,2.7500001554765823,1
0,5,2010,2005,4.5,1
0,6,2008,2005,2.000000310953165,1
0,7,2008,2005,2.0,1
0,8,2013,2005,3.2499973539534333,1
0,9,2005,2005,0.0,0
0,10,2017,2005,5.0000003109531646,1
0,11,2016,2005,6.0,1
0,12,2015,2005,4.0,1
0,13,2005,2004,1.0,0
0,14,2005,2004,1.0000052920931337,0
0,15,2013,2005,3.0,1
0,16,2012,2005,3.2500001554765827,1
0,17,2016,2005,4.4999947079068665,1
0,18,2011,2005,4.5000052920931335,1
0,19,2017,2005,2.500000310953165,1
0,20,2006,2005,3.9999975094300155,1
0,21,2020,2005,4.250002646046567,1
0,22,2016,2005,3.500154112916795,1
0,23,2017,2005,4.4999947079068665,1
1,0,2006,2005,0.0,0
1,1,2006,2006,0.0,0
1,2,2014,2006,5.0,1
1,3,2020,2006,3.749997664897999,1
1,4,2006,1996,2.2500001554765823,1
1,5,2010,2006,3.499994707906866,1
1,6,2008,2006,1.999995018860031,0
1,7,2008,2006,1.5000052920931337,0
1,8,2013,2006,3.0,1
1,9,2006,2005,0.0,0
1,10,2017,2006,4.5000003109531646,1
1,11,2016,2006,6.0,1
1,12,2015,2006,4.0,1
1,13,2006,2004,0.4999947079068662,0
1,14,2006,2004,0.5000052920931338,0
1,15,2013,2006,2.500154112916795,1
1,16,2012,2006,3.2500001554765827,1
1,17,2016,2006,4.4999947079068665,1
1,18,2011,2006,3.9998406126009662,1
1,19,2017,2006,2.499995018860031,1
1,20,2006,2006,3.7499948633834483,1
1,21,2020,2006,4.250002646046567,1
1,22,2016,2006,3.500154112916795,1
1,23,2017,2006,4.4999947079068665,1
24,0,2005,2004,0.0,0
24,1,2006,2004,0.0,0
24,2,2014,2004,4.0,1
24,3,2020,2004,3.749997664897999,1
24,4,2004,1996,0.7499998445234176,0
24,5,2010,2004,3.499994707906866,1
24,6,2008,2004,1.999995018860031,0
24,7,2008,2004,2.500005292093134,1
24,8,2013,2004,3.0,1
24,9,2005,2004,0.0,0
24,10,2017,2004,4.5000003109531646,1
24,11,2016,2004,4.4999947079068665,1
24,12,2015,2004,3.499994707906866,1
24,13,2004,2004,0.4999947079068662,0
24,14,2004,2004,0.0,0
24,15,2013,2004,2.0,1
24,16,2012,2004,2.7499948633834483,1
24,17,2016,2004,1.499994707906866,0
24,18,2011,2004,3.0001594050099287,1
24,19,2017,2004,2.499995018860031,1
24,20,2006,2004,0.0,0
24,21,2020,2004,2.750156758963362,1
24,22,2016,2004,0.4999947079068662,0
24,23,2017,2004,3.7499858849896293,1
25,0,2015,2005,4.4999947079068665,1
25,1,2015,2006,4.5000003109531646,1
25,2,2015,2014,6.499835320507832,1
25,3,2020,2015,4.7499976648979985,1
25,4,2015,1996,4.250000155476583,1
25,5,2015,2010,7.0,1
25,6,2015,2008,4.999995018860031,1
25,7,2015,2008,4.000159405009929,1
25,8,2015,2013,4.4999947079068665,1
25,9,2015,2005,4.0,1
25,10,2017,2015,5.999995018860031,1
25,11,2016,2015,7.0,1
25,12,2015,2015,5.0,1
25,13,2015,2004,5.0,1
25,14,2015,2004,2.500005292093134,1
25,15,2015,2013,3.4998353205078323,1
25,16,2015,2012,4.749994863383449,1
25,17,2016,2015,5.500154112916794,1
25,18,2015,2011,5.5000052920931335,1
25,19,2017,2015,5.0000003109531646,1
25,20,2015,2006,5.749994863383449,1
25,21,2020,2015,5.749200592989409,1
25,22,2016,2015,4.499835320507832,1
25,23,2017,2015,6.0,1
2,0,2014,2005,3.499994707906866,1
2,1,2014,2006,4.5000003109531646,1
2,2,2014,2014,0.0,0
2,3,2020,2014,0.0,0
2,4,2014,1996,3.749994863383449,1
2,5,2014,2010,10.499197946942843,1
2,6,2014,2008,6.00015442386996,1
2,7,2014,2008,4.5000052920931335,1
2,8,2014,2013,0.0,0
2,9,2014,2005,4.0,1
2,10,2017,2014,4.999995018860031,1
2,11,2016,2014,2.0,1
2,12,2015,2014,0.0,0
2,13,2014,2004,5.0,1
2,14,2014,2004,3.9998406126009662,1
2,15,2014,2013,5.499197946942842,1
2,16,2014,2012,6.250000155476583,1
2,17,2016,2014,2.0,1
2,18,2014,2011,5.999203239035976,1
2,19,2017,2014,6.50015442386996,1
2,20,2014,2006,10.250000155476583,1
2,21,2020,2014,1.749997353953433,0
2,22,2016,2014,0.0,0
2,23,2017,2014,0.5000046702040022,0
3,0,2020,2005,7.250236487892452,1
3,1,2020,2006,5.5000003109531646,1
3,2,2020,2014,2.7499973539534333,1
3,3,2020,2020,0.0,0
3,4,2020,1996,7.499917815730498,1
3,5,2020,2010,9.999197946942843,1
3,6,2020,2008,5.5000003109531646,1
3,7,2020,2008,6.750241779985586,1
3,8,2020,2013,5.250077056458397,1
3,9,2020,2005,7.2495989734714215,1
3,10,2020,2017,3.749997664906598,1
3,11,2020,2016,3.7499973539534333,1
3,12,2020,2015,2.7499973539534333,1
3,13,2020,2004,6.7495989734714215,1
3,14,2020,2004,4.750241779985586,1
3,15,2020,2013,5.5,1
3,16,2020,2012,7.499917815730498,1
3,17,2020,2016,2.7499973539534333,1
3,18,2020,2011,5.5000052920931335,1
3,19,2020,2017,6.999995027665479,1
3,20,2020,2006,10.750000155476583,1
3,21,2020,2020,6.499601619517988,1
3,22,2020,2016,4.7499176602539155,1
3,23,2020,2017,2.2499973539534333,1
4,0,2005,1996,0.5,0
4,1,2006,1996,0.5000024905785835,0
4,2,2014,1996,3.5,1
4,3,2020,1996,4.250072075309829,1
4,4,1996,1996,0.0,0
4,5,2010,1996,2.2499998445234177,1
4,6,2008,1996,3.249997664906598,1
4,7,2008,1996,1.750002646046567,0
4,8,2013,1996,3.2499973539534333,1
4,9,2005,1996,0.749997353953433,0
4,10,2017,1996,4.249997664906598,1
4,11,2016,1996,5.0,1
4,12,2015,1996,2.999994707906866,1
4,13,2004,1996,0.5,0
4,14,2004,1996,0.7500026460465669,0
4,15,2013,1996,2.0,1
4,16,2012,1996,2.4999975094300155,1
4,17,2016,1996,4.0,1
4,18,2011,1996,3.0000052920931335,1
4,19,2017,1996,1.749997664906598,0
4,20,2006,1996,3.5,1
4,21,2020,1996,4.250002646046567,1
4,22,2016,1996,0.0,0
4,23,2017,1996,3.2499973539534333,1
26,0,2015,2005,6.0,1
26,1,2015,2006,6.999835631460997,1
26,2,2015,2014,3.0,1
26,3,2020,2015,4.499983549887629,1
26,4,2015,1996,7.250000155476583,1
26,5,2015,2010,10.74903842646678,1
26,6,2015,2008,7.5000003109531646,1
26,7,2015,2008,5.5000052920931335,1
26,8,2015,2013,3.7499858849896293,1
26,9,2015,2005,6.0,1
26,10,2017,2015,7.999835631460997,1
26,11,2016,2015,4.0,1
26,12,2015,2015,2.0,1
26,13,2015,2004,6.0,1
26,14,2015,2004,5.5000052920931335,1
26,15,2015,2013,6.0,1
26,16,2015,2012,8.250000155476583,1
26,17,2016,2015,4.0,1
26,18,2015,2011,6.5000052920931335,1
26,19,2017,2015,8.750554969867327,1
26,20,2015,2006,10.250000155476583,1
26,21,2020,2015,3.2500026460465667,1
26,22,2016,2015,2.0,1
26,23,2017,2015,3.0,1
5,0,2010,2005,6.0,1
5,1,2010,2006,4.5000003109531646,1
5,2,2014,2010,9.0,1
5,3,2020,2010,6.249832985405831,1
5,4,2010,1996,4.250000155476583,1
5,5,2010,2010,0.0,0
5,6,2010,2008,2.999995018860031,1
5,7,2010,2008,3.0,1
5,8,2013,2010,4.4999947079068665,1
5,9,2010,2005,5.0,1
5,10,2017,2010,5.5000003109531646,1
5,11,2016,2010,6.500154112916794,1
5,12,2015,2010,7.0,1
5,13,2010,2004,2.499994707906866,1
5,14,2010,2004,0.0,0
5,15,2013,2010,0.0,0
5,16,2012,2010,2.7499948633834483,1
5,17,2016,2010,7.500472975784904,1
5,18,2011,2010,3.0001594050099287,1
5,19,2017,2010,2.000000310953165,1
