at_index,sr_index,max_year,min_year,distance,class,at_year,sr_year
10,21,2020,2017,3.2500026460465667,1,2017,2020
42,16,2016,2012,6.250000155476583,1,2016,2012
38,1,2014,2006,7.5000003109531646,1,2014,2006
49,1,2016,2006,8.500000310953165,1,2016,2006
76,2,2018,2014,5.0,1,2018,2014
40,8,2017,2013,3.0,1,2017,2013
58,4,2015,1996,5.749994863383449,1,2015,1996
75,14,2018,2004,6.5000052920931335,1,2018,2004
75,12,2018,2015,5.0,1,2018,2015
10,12,2017,2015,2.499994707906866,1,2017,2015
49,16,2016,2012,7.250000155476583,1,2016,2012
53,14,2015,2004,1.2499911770827632,0,2015,2004
60,22,2016,2006,3.0,1,2006,2016
55,19,2017,2015,5.0000003109531646,1,2015,2017
74,19,2019,2017,9.000000310953165,1,2019,2017
67,23,2017,2015,7.0,1,2015,2017
42,21,2020,2016,2.2500026460465667,1,2016,2020
58,14,2015,2004,2.500005292093134,1,2015,2004
18,4,2011,1996,4.749994863383449,1,2011,1996
45,15,2015,2013,5.499197946942842,1,2015,2013
75,7,2018,2008,7.500005292093133,1,2018,2008
47,5,2015,2010,10.0,1,2015,2010
74,15,2019,2013,6.499197946942842,1,2019,2013
72,14,2019,2004,5.999203239035976,1,2019,2004
15,4,2013,1996,4.250000155476583,1,2013,1996
71,13,2019,2004,7.0,1,2019,2004
44,2,2015,2014,3.0,1,2015,2014
30,0,2014,2005,2.499994707906866,1,2014,2005
10,10,2017,2017,0.0,0,2017,2017
38,22,2016,2014,1.499994707906866,0,2014,2016
13,18,2011,2004,5.999203239035976,1,2004,2011
53,10,2017,2015,5.5000003109531646,1,2015,2017
14,9,2005,2004,3.0,1,2004,2005
7,15,2013,2008,2.0,1,2008,2013
39,21,2020,2013,1.2500026460465667,0,2013,2020
7,12,2015,2008,3.499994707906866,1,2008,2015
49,21,2020,2016,3.7498379665544,1,2016,2020
69,7,2016,2008,7.500005292093133,1,2016,2008
44,9,2015,2005,6.0,1,2015,2005
73,15,2019,2013,6.251538766995965,1,2019,2013
64,4,2016,1996,6.250000155476583,1,2016,1996
52,16,2018,2012,6.250000155476583,1,2018,2012
51,21,2020,2018,6.250002646046567,1,2018,2020
70,12,2015,2005,4.0,1,2005,2015
63,3,2020,2016,5.250151777814793,1,2016,2020
66,13,2015,2004,0.0,0,2015,2004
21,10,2020,2017,5.0000003109531646,1,2020,2017
15,2,2014,2013,7.500472975784904,1,2013,2014
68,19,2018,2017,5.0000003109531646,1,2018,2017
38,20,2014,2006,10.250000155476584,1,2014,2006
41,4,2017,1996,4.250000155476583,1,2017,1996
68,8,2018,2013,3.0,1,2018,2013
37,23,2017,2006,5.500154112916794,1,2006,2017
17,2,2016,2014,3.499994707906866,1,2016,2014
13,8,2013,2004,4.4999947079068665,1,2004,2013
76,7,2018,2008,7.500005292093133,1,2018,2008
28,16,2016,2012,6.250000155476583,1,2016,2012
7,1,2008,2006,0.0,0,2008,2006
69,16,2016,2012,7.250000155476583,1,2016,2012
49,6,2016,2008,9.500000310953164,1,2016,2008
75,20,2018,2006,10.749198102419424,1,2018,2006
18,21,2020,2011,7.250002646046567,1,2011,2020
24,23,2017,2004,3.749985884989629,1,2004,2017
70,22,2016,2005,2.0,1,2005,2016
72,15,2019,2013,6.0,1,2019,2013
11,9,2016,2005,6.0,1,2016,2005
52,0,2018,2005,5.0,1,2018,2005
43,23,2017,2015,4.0,1,2015,2017
51,0,2018,2005,8.0,1,2018,2005
42,0,2016,2005,4.4999947079068665,1,2016,2005
2,10,2017,2014,4.999995018860031,1,2014,2017
53,1,2015,2006,2.500000310953165,1,2015,2006
16,1,2012,2006,2.000000310953165,1,2012,2006
24,17,2016,2004,1.499994707906866,0,2004,2016
65,15,2013,2006,2.500154112916795,1,2006,2013
20,13,2006,2004,2.2499973539534333,1,2006,2004
64,6,2016,2008,7.5000003109531646,1,2016,2008
31,22,2018,2016,6.0,1,2018,2016
63,10,2017,2016,5.5000003109531646,1,2016,2017
46,18,2015,2011,6.5000052920931335,1,2015,2011
30,20,2014,2006,5.749994863383449,1,2014,2006
45,21,2020,2015,3.2500026460465667,1,2015,2020
35,4,2008,1996,4.250000155476583,1,2008,1996
30,12,2015,2014,1.499994707906866,0,2014,2015
48,1,2016,2006,8.500000310953165,1,2016,2006
23,3,2020,2017,3.249992372804865,1,2017,2020
17,14,2016,2004,4.5000052920931335,1,2016,2004
52,12,2018,2015,3.499994707906866,1,2018,2015
31,4,2018,1996,9.250000155476584,1,2018,1996
21,12,2020,2015,1.5,0,2020,2015
57,1,2015,2006,5.5000003109531646,1,2015,2006
35,0,2008,2005,1.499994707906866,0,2008,2005
38,13,2014,2004,6.0,1,2014,2004
35,9,2008,2005,2.0,1,2008,2005
72,21,2020,2019,6.250002646046567,1,2019,2020
32,17,2018,2016,5.0,1,2018,2016
37,15,2013,2006,3.4998353205078323,1,2006,2013
33,23,2018,2017,5.0,1,2018,2017
49,8,2016,2013,4.0,1,2016,2013
52,2,2018,2014,3.499994707906866,1,2018,2014
17,7,2016,2008,6.000478267878038,1,2016,2008
8,22,2016,2013,1.0,0,2013,2016
38,6,2014,2008,8.00047328673807,1,2014,2008
28,17,2016,2016,1.0,0,2016,2016
21,16,2020,2012,7.750000155476583,1,2020,2012
55,14,2015,2004,2.0,1,2015,2004
2,3,2020,2014,0.0,0,2014,2020
70,5,2010,2005,5.0,1,2005,2010
58,16,2015,2012,5.250000155476583,1,2015,2012
0,16,2012,2005,3.2500001554765827,1,2005,2012
18,12,2015,2011,7.500472975784904,1,2011,2015
49,0,2016,2005,9.0,1,2016,2005
68,6,2018,2008,4.999995018860031,1,2018,2008
30,14,2014,2004,1.0,0,2014,2004
47,0,2015,2005,6.499835320507832,1,2015,2005
23,23,2017,2017,0.0,0,2017,2017
69,22,2016,2016,1.0,0,2016,2016
55,10,2017,2015,5.5000003109531646,1,2015,2017
25,21,2020,2015,5.749200592989409,1,2015,2020
48,20,2016,2006,10.250000155476584,1,2016,2006
59,2,2015,2014,4.0,1,2015,2014
75,4,2018,1996,9.250000155476584,1,2018,1996
62,13,2009,2004,2.0,1,2009,2004
35,23,2017,2008,3.499994707906866,1,2008,2017
13,11,2016,2004,7.499835320507832,1,2004,2016
48,11,2016,2016,2.0,1,2016,2016
72,1,2019,2006,8.500000310953165,1,2019,2006
29,6,2015,2008,5.5000003109531646,1,2015,2008
32,7,2018,2008,7.500005292093133,1,2018,2008
45,9,2015,2005,6.0,1,2015,2005
38,17,2016,2014,3.0,1,2014,2016
51,3,2020,2018,1.749997664897999,0,2018,2020
44,4,2015,1996,6.250000155476583,1,2015,1996
67,5,2015,2010,4.0,1,2015,2010
68,18,2018,2011,3.500005292093134,1,2018,2011
75,23,2018,2017,5.0,1,2018,2017
56,6,2015,2008,6.5000003109531646,1,2015,2008
46,4,2015,1996,6.250000155476583,1,2015,1996
10,2,2017,2014,3.499994707906866,1,2017,2014
70,11,2016,2005,5.0,1,2005,2016
48,21,2020,2016,3.2500026460465667,1,2016,2020
48,0,2016,2005,9.0,1,2016,2005
41,19,2017,2017,6.0000003109531646,1,2017,2017
55,15,2015,2013,3.0,1,2015,2013
11,6,2016,2008,8.00047328673807,1,2016,2008
40,16,2017,2012,8.250000155476583,1,2017,2012
69,8,2016,2013,2.0,1,2016,2013
38,0,2014,2005,7.0,1,2014,2005
64,15,2016,2013,5.0,1,2016,2013
26,5,2015,2010,10.74903842646678,1,2015,2010
1,0,2006,2005,0.0,0,2006,2005
76,0,2018,2005,10.0,1,2018,2005
74,9,2019,2005,7.499197946942842,1,2019,2005
38,5,2014,2010,10.0,1,2014,2010
41,16,2017,2012,5.750154268393377,1,2017,2012
57,21,2020,2015,6.250002646046567,1,2015,2020
51,11,2018,2016,5.0,1,2018,2016
66,17,2016,2015,4.4999947079068665,1,2015,2016
3,18,2020,2011,5.5000052920931335,1,2020,2011
25,15,2015,2013,3.4998353205078323,1,2015,2013
45,0,2015,2005,7.0,1,2015,2005
54,21,2020,2015,1.2500026460465667,0,2015,2020
61,19,2017,2005,3.749997664906598,1,2005,2017
27,0,2005,2004,1.0,0,2004,2005
57,16,2015,2012,6.749835475984415,1,2015,2012
50,1,2015,2006,8.999198257896007,1,2015,2006
33,5,2018,2010,11.0,1,2018,2010
28,3,2020,2016,3.749997664897999,1,2016,2020
63,11,2016,2016,3.0,1,2016,2016
34,12,2018,2015,5.0,1,2018,2015
4,13,2004,1996,0.5,0,1996,2004
75,3,2020,2018,2.249992372804865,1,2018,2020
7,16,2012,2008,3.749994863383448,1,2008,2012
20,23,2017,2006,8.0,1,2006,2017
8,12,2015,2013,1.0,0,2013,2015
45,18,2015,2011,6.5000052920931335,1,2015,2011
9,19,2017,2005,2.499995018860031,1,2005,2017
33,17,2018,2016,5.0,1,2018,2016
30,4,2014,1996,5.250000155476583,1,2014,1996
33,18,2018,2011,6.5000052920931335,1,2018,2011
68,21,2020,2018,3.2500026460465667,1,2018,2020
18,1,2011,2006,3.999995018860031,1,2011,2006
73,9,2019,2005,7.0,1,2019,2005
54,13,2015,2004,1.0,0,2015,2004
75,15,2018,2013,6.0,1,2018,2013
1,1,2006,2006,0.0,0,2006,2006
25,1,2015,2006,4.5000003109531646,1,2015,2006
20,18,2011,2006,4.5000052920931335,1,2006,2011
18,20,2011,2006,5.749994863383449,1,2011,2006
13,22,2016,2004,3.500154112916795,1,2004,2016
33,8,2018,2013,7.500472975784904,1,2018,2013
46,19,2017,2015,8.000000310953165,1,2015,2017
22,21,2020,2016,2.2500026460465667,1,2016,2020
72,8,2019,2013,6.499835320507832,1,2019,2013
48,19,2017,2016,8.50047328673807,1,2016,2017
67,7,2015,2008,4.999840612600966,1,2015,2008
3,11,2020,2016,3.749997353953433,1,2020,2016
61,1,2006,2005,2.000000000008599,1,2005,2006
22,2,2016,2014,3.0,1,2016,2014
